Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-04-08,110.12705513498898,111.49062366066116,108.61024149578552,110.4000978633662,7476672.1832150575,0.012937742060281266,0.0
2020-04-09,109.24951979494271,112.24243606586099,108.51473424058912,110.4890433309031,8394846.39142103,0.013089767288473528,0.0
2020-04-13,109.80542877007886,111.77417998456527,108.48053415027982,110.31193293748208,6688913.835879455,0.0,0.0
2020-04-14,112.05613062823288,115.36172119269668,111.0491528746626,114.72033603126204,8399719.054414036,0.0,0.0
2020-04-15,113.64505364770685,114.52500402903394,111.69419343324356,112.98518711709704,5933799.609171993,0.0,0.0
2020-04-16,113.84312175895047,116.02285129974354,112.42109190838266,115.22196560115654,7302989.778919988,0.0,0.0
2020-04-17,115.94775299617142,117.15279515475751,113.95553994283487,116.23484317322419,7820072.800903264,0.016778218530599086,0.0
2020-04-20,115.80392782157465,116.72094840466565,113.62365583584007,114.04790388655464,6897989.698697364,0.0,0.0
2020-04-21,113.11922090957927,114.07769627523723,110.52624473393823,111.38472947557808,8445328.884756502,0.01604147547054029,0.0
2020-04-22,112.45866486310365,114.24716943373896,111.33631332072949,113.36656220983097,5900267.925101219,0.0,0.0
2020-04-23,112.5619244422881,113.82054749658245,111.0178494401331,111.50594653940024,6953072.280568773,0.0,0.0
2020-04-24,112.08362991450295,113.62121613611126,111.38360254758862,113.13898907472688,5543309.355671947,0.0,0.0
2020-04-27,113.77286313033699,114.39314874034253,112.29896836359185,113.02420328476984,5986526.901267745,0.0,0.0
2020-04-28,114.01809830121142,115.1159758720674,112.54782473740909,113.26739552497625,6469744.788819743,0.0,0.0
2020-04-29,112.93504832381913,114.04354997043615,110.95663420845707,112.43746848017872,8255622.013373569,0.0020931853658404027,0.0
2020-04-30,112.21194404022191,112.92864766199418,110.18657717054268,111.06812030789672,9498755.037825841,0.06143228654038281,0.0
2020-05-01,110.46211759033119,112.22831331937081,109.35594486869755,110.43431114070039,6727700.130981442,0.0,0.0
2020-05-04,110.63185915666017,111.65647519298719,109.19811955070533,111.02546746297101,6847639.688597582,0.0,0.0
2020-05-05,111.39244291854864,112.88424277740029,110.31371476369819,111.45908580648353,5463359.6993919,0.0,0.0
2020-05-06,111.83799722040362,112.39393276666384,110.10803276439478,110.71357337168253,5657716.74970568,0.0,0.0
2020-05-07,111.4982895211575,112.01754835897654,109.77607597151017,110.32756329238154,7192380.906775917,0.121891028742675,0.0
2020-05-08,111.3582831286584,112.32538070266591,110.4995225263783,111.79846030578298,5593848.340164937,0.0,0.0
2020-05-11,111.5588459747124,113.10012075484528,111.09702686391185,112.0961300550515,5266531.176037108,0.0,0.0
2020-05-12,112.5872615071992,113.49499895580786,111.03719784145169,111.1699183391544,5530576.2664508065,0.0,0.0
2020-05-13,111.01140319270388,112.30090364232116,109.49220737026059,110.31857155623267,7068035.0395822385,0.0,0.0
2020-05-14,110.21232415939056,111.13985703579506,107.83751676761432,110.0527064215598,6833540.547592959,0.0031563287134259745,0.0
2020-05-15,110.10225202189207,112.01445951855158,109.2628360532043,111.26786888985782,11440810.457578752,0.0,0.0
2020-05-18,112.65393367992198,113.82143764635934,111.37810271300158,112.7653702375756,9735036.437286522,0.0,0.0
2020-05-19,113.60899697886705,114.35565130910483,110.88623325932059,111.29529609456034,10593278.194871604,0.01383909694019983,0.0
2020-05-20,112.30114517470555,113.03813950431883,110.99008933072803,112.18235840692836,8143474.047169881,0.0,0.0
2020-05-21,112.0345727759436,112.6451824489666,110.65225263802604,111.23871470170893,6034379.501376598,0.01331460581199624,0.0
2020-05-22,111.22631517744801,111.90646090638027,110.40189637950036,111.34254709434575,5097858.898091752,0.0,0.0
2020-05-26,112.61549398906408,113.39666964349382,111.29267548779936,111.9434351901804,7538210.965985188,0.0,0.0
2020-05-27,112.38301376864483,113.54189531054257,110.74636181799995,112.91327364132766,7488201.70359699,0.0,0.0
2020-05-28,113.77190167526865,115.01301498241268,112.94467465051649,113.87299882616225,6799914.312149179,0.008868295910149596,0.0
2020-05-29,113.3590399286314,114.64355926948238,112.08814981280209,114.11649887326631,13379239.684931345,0.012995032964926607,0.0
2020-06-01,114.04921787665691,115.24962055790279,113.4172836519708,114.54855457565066,5703838.938486817,0.0,0.0
2020-06-02,114.49301239206861,115.16627188760546,113.43722904361438,114.59100230374246,5802069.649640437,0.0,0.0
2020-06-03,115.01423893840808,115.46973002322551,113.87948261060515,114.48389150239986,6108171.338718059,0.0,0.0
2020-06-04,114.58321783619637,115.88149674377621,113.46935648061923,114.23897121353157,6186400.417285086,0.1417402298793392,0.0
2020-06-05,115.085471454372,116.09253535831164,113.33727609582579,115.07887371525136,9193745.678537954,0.0,0.0
2020-06-08,114.24094592284067,115.6700007766788,113.59590913141606,115.1526798171084,7765008.054841193,0.0,0.0
